publication_title,title_id,Aim
journal of control and decision,tjcd20,"the primary aim of the journal of control and decision (jcd) is to provide a platform for scientists, engineers and practitioners throughout the world to present the latest advancement in control and decision.

jcd will cover both theory and application in all the areas of these disciplines. topics of interest include:

cyber-physical system; artificial intelligence and intelligent control; big data and data mining; unmanned system; industrial internet of things; cloud computing and edge computing; industrial big data analysis and application; integration of decision-making and control; operational research; game theory; decision-making theory and method; intelligent optimization algorithm; plan, scheduling theory and method; reliability of systems; modern logistics; automatic control; systems theory and engineering; pattern recognition and intelligent systems; automation engineering and applications; information processing and information systems; computer-aided technologies for automation systems; sensing and measurement; navigation, guidance, and control.

peer review policy
taylor and francis is committed to peer-review integrity and upholding the highest standards of review. once your paper has been assessed for suitability by the editor, it will then be double blind peer-reviewed by independent, anonymous expert referees.
  star
taylor and francis/routledge are committed to the widest possible dissemination of its journals to non-profit institutions in developing countries.   our star initiative offers individual researchers in africa, south asia and many parts of south east asia the opportunity to gain one month’s free online access to 1,300 taylor and francis journals.  for more information, please visit the star website.

authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
journal of crash prevention and injury control,gcpi19,home all journals journal of crash prevention and injury control aims and scope
journal of decision systems,tjds20,"the journal of decision systems (jds) is a leading journal extending scientific knowledge related to decision making and decision support. published articles focus on the process of decision-making in different environments/conditions, how that process is influenced by specific social and/or technical factors, and ultimately how new or adapted sociotechnical systems can be introduced to improve decision-making.

the types of studied decision systems vary in scale. some studies focus on individual decision-making, others focus on group decisions, others on organisational or community decision-making, and others on some combination of these. the types of studied decision systems also vary by domain. examples include systems development, human resource management, health and wellbeing, marketing, product design, green it, financial services, and crisis management, to name a few.

jds encourages research that draws on different backgrounds, theories, and methodologies. we are particularly welcoming to articles that seek to open up the black box of decision-making in a way that produces new insights with clear practical implications.

a range of decision-related topics will be considered; examples include:
big data and data analytics
business intelligence
clinical and health information and decision systems
collaborative decision making
context in decision making
decision support systems
decision making during design and organisational change
distributed decision making
emergency management
enterprise systems
evaluation of decision systems
integrated decision support systems
intelligent or augmented decision systems
knowledge management
managerial decision making
mindful decision making
neurois
open decision making behaviour, e.g. open strategy, crowd filtering/evaluation
production and logistics systems
sense-making
situational decision making

proposals for special issues in cutting-edge areas are encouraged and should be discussed with the editors-in-chief. all submitted manuscripts are subject to initial appraisal by editors, and, if found suitable for further consideration, to rigorous peer-review by independent, anonymous expert referees.

all peer review is double blind and submissions can be made via the jds submission site

queries regarding submissions can be made by contacting the editors-in-chief, whose decision is final.

author benefits
we are abstracted and indexed in several prestigious databases including the ei compendex, scopus, emerging sources citation index (esci), and the web of science.
the prestigious and experienced members of our international  editorial board will guide you from submission to publication
our  author services page provides you with tips and tricks to promote your research on social media and through your network. this includes 50 free e-prints to share with anyone you wish.
quickly and easily track the impact your paper makes with the help of  authored works.
decision support refers to the routine, techniques, support staff and computer-based applications that provide dedicated support or dedicated information to facilitate individuals or groups in their decision-making tasks. the main purpose of the journal of decision systems is to be a forum for researchers and practitioners who seek to understand how to best support decision makers, for instance by designing, implementing and evaluating computer-based decision support systems.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
journal of dispersion science and technology,ldis20,"journal of dispersion science and technology is an international journal with quick turnaround time, publishing high quality articles covering fundamental and applied aspects related to multiphase systems, including dispersions, emulsions and foams since its first issue in 1980. a subset of these topics includes natural–derived colloids and high surface area systems including hydrogels, aerogels and organogels, as well as the following:
vesicles, microemulsions, liquid crystals, particle suspensions, sol-gel processes, new surfactants, polymers and indigenous stabilizers;
surfactant and polymer association;
phase equilibria in surfactant-oil-water systems;
surfactant and polymer films, monolayers and interfacial phenomena;
adsorption and desorption;
stability and destabilization of dispersions and colloidal templates.
  papers on applications covering chemicals (surfactants, polymers, stabilizers, inhibitors), food, pharmaceuticals, forest products, agriculture, nanotechnology, and soft condensed matter are welcome.
 all submitted manuscripts are subject to initial appraisal by the editor, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees. submission is online via scholarone manuscripts, providing an expedited but thorough review and decision process.

publication office: taylor and francis, inc., 530 walnut street, suite 850, philadelphia, pa 19106.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
journal of earthquake engineering,ueqe20,"the journal of earthquake engineering is a publication of peer-reviewed papers on research and development in analytical, experimental and field studies of earthquakes from an engineering seismology as well as a structural engineering viewpoint. the journal combines the three most important ingredients for a successful technical publication; the highest possible technical quality, speed of publication and competitive subscription rates.
the journal draws on research and development work from engineering communities worldwide in the fields of earthquake engineering and engineering seismology. work on experimental, analytical, design, and field studies will be considered for publication. the following is a nonexhaustive list of topics considered to be within the scope of the journal:
historical seismicity
tectonics and seismology
strong-motion studies
soil dynamics and foundations
site effects and geotechnical aspects
dynamic soil-structure interaction
foundation design for earthquake loading
seismic response of buildings
seismic response of bridges and other special structures
lifelines earthquake engineering
passive and active systems for earthquake protection
repair and strengthening
earthquake disaster mitigation and emergency planning
case histories and field studies
seismic sea-waves (tsunamis)
original state-of-the-art papers are also welcome. timely papers on field investigations following damaging earthquakes will be considered for accelerated review and publication. also, the journal extends a special invitation to authors of short communications of new research findings that may not have been developed sufficiently to warrant full-length papers.
all submitted manuscripts are subject to initial evaluation by the editors and, if found suitable for further consideration, to peer review by independent, anonymous expert reviewers. all peer review is single blind. submissions are made online via scholarone manuscripts. 
  publication office: taylor and francis group, 530 walnut street, suite 850, philadelphia, pa 19106 
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
journal of energetic materials,uegm20,"the journal of energetic materials fills the need for an international forum of scientific and technical interchange in the disciplines of explosives, propellants, and pyrotechnics. it is a refereed publication which is published quarterly. molecular orbital calculations, synthetic and analytical chemistry, formulation, ignition and detonation properties, thermal decomposition, hazards testing, biotechnology, and toxicological and environmental aspects of energetic materials production are appropriate subjects for articles submitted to the journal.
  peer review
  all submitted manuscripts are subject to initial appraisal by the editor-in-chief, and, if found suitable for further consideration, to peer review by independent and anonymous expert referees. all peer review is single blind and submission is online via  scholarone manuscripts.
   publication office: taylor and francis, inc., 530 walnut street, suite 850, philadelphia, pa 19106
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
journal of engineering design,cjen20,"the journal of engineering design is a leading international publication that provides an essential forum for dialogue on important issues across all disciplines and aspects of the design of engineered products and systems. the journal publishes pioneering, contemporary, best industrial practice as well as authoritative research, studies and review papers on the underlying principles of design, its management, practice, techniques and methodologies, rather than specific domain applications. 
we welcome papers that examine the following topics:
engineering design aesthetics, style and form
big data analytics in engineering design
collaborative design in engineering
engineering concept design
creativity and innovation in engineering
engineering design architectures
design costing in engineering
design education and pedagogy in engineering
engineering design for x, e.g. manufacturability, assembly, environment, sustainability
engineering design management
design risk and uncertainty in engineering
engineering design theory and methodology
designing product platforms, modularity and reuse in engineering
emotive design, e.g. kansei engineering
ergonomics, styling and the design process
evolutionary design activity in engineering (product improvement and refinement)
global and distributed engineering design
inclusive design and assistive engineering technology
engineering industrial design and total design
integrated engineering design development
knowledge and information management in engineering
engineering maintainability, sustainability, safety and standards
multi, inter and trans disciplinary engineering design
new engineering product design and development
engineering product introduction process
product quality management, improvement and standardisation
quality, reliability, robustness and uncertainty in engineering
engineering service design and design services
state-of-the-art engineering reviews
engineering systems design and design complexity
  all published research articles in this journal have undergone rigorous double blind peer review, based on initial editor screening and anonymous refereeing by independent expert referees. submissions can take the form of quality original research contributions as well as book reviews from all the major disciplines of engineering design.
visit our instructions for authors page for information on preparing your manuscript.
author benefits
we are abstracted and indexed in science citation index, scopus and more.
the journal of engineering design is endorsed by the design society meaning your research will be available to all their members.
the prestigious and experienced members of our international editorial board will guide you from submission to publication.
our author services page provides you with tips and tricks to promote your research on social media and through your network. this includes 50 free e-prints to share with anyone you wish.
quickly and easily track the impact your paper makes with the help of authored works.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
journal of experimental and theoretical artificial intelligence,teta20,"journal of experimental and theoretical artificial intelligence (jetai) is a world leading journal dedicated to publishing high quality, rigorously reviewed, original papers in artificial intelligence (ai) research.

the journal features work in all subfields of ai research and accepts both theoretical and applied research. topics covered include, but are not limited to, the following:
cognitive science
games
learning
knowledge representation
memory and neural system modelling
perception
problem-solving
all submitted manuscripts are subject to initial appraisal by the editor-in-chief, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees. all peer review is double blind and submission is online via scholarone manuscripts.

proposals for special issues in cutting-edge areas of ai should be discussed with the editor-in-chief.

queries regarding submissions can be made by contacting the editor-in-chief, whose decision is final.

authors can choose to publish gold open access in this journal.

read the instructions for authors for information on how to submit your article."
journal of industrial and production engineering,tjci21,"journal of industrial and production engineering (jipe) is an international, refereed journal devoted to the publication of high quality research contributions for the industrial engineering community. its scope includes operations research and soft computing, quality and applied statistics, manufacturing automation and e-business, human factors and hci, information technology and management, industrial technology and management, product lifecycle management, production and operations management.
  jipe no longer carries publication charges.
  star
taylor and francis/routledge are committed to the widest possible dissemination of its journals to non-profit institutions in developing countries.   our star initiative offers individual researchers in africa, south asia and many parts of south east asia the opportunity to gain one month’s free online access to 1,300 taylor and francis journals.  for more information, please visit the star website.

authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
journal of intelligent transportation systems,gits20,"the journal of intelligent transportation systems is devoted to scholarly research on the development, planning, management, operation and evaluation of intelligent transportation systems. intelligent transportation systems are innovative solutions that address contemporary transportation problems. they are characterized by information, dynamic feedback and automation that allow people and goods to move efficiently. they encompass the full scope of information technologies used in transportation, including control, computation and communication, as well as the algorithms, databases, models and human interfaces. the emergence of these technologies as a new pathway for transportation is relatively new.
 
the journal of intelligent transportation systems is especially interested in research that leads to improved planning and operation of the transportation system through the application of new technologies. the journal is particularly interested in research that adds to the scientific understanding of the impacts that intelligent transportation systems can have on accessibility, congestion, pollution, safety, security, noise, and energy and resource consumption.
 
the journal is inter-disciplinary, and accepts work from fields of engineering, economics, planning, policy, business and management, as well as any other disciplines that contribute to the scientific understanding of intelligent transportation systems. the journal is also multi-modal, and accepts work on intelligent transportation for all forms of ground, air and water transportation. example topics include the role of information systems in transportation, traffic flow and control, vehicle control, routing and scheduling, traveler response to dynamic information, planning for its innovations, evaluations of its field operational tests, its deployment experiences, automated highway systems, vehicle control systems, diffusion of its, and tools/software for analysis of its.

the journal of intelligent transportation systems welcomes submissions of survey/overview articles that summarize and organize recent research results in a particular area of intelligent transportation systems. a survey article should synthesize the knowledge of a topic area in a way that not only offers rapid access to scattered materials, but also adds understanding to work in the field. meta analysis techniques that integrate results from different studies are encouraged. ideally, a survey article should also develop a future perspective that is useful to researchers and practitioners. the authors of a survey article should have a demonstrated research record on the topic area. authors interested in preparing a manuscript of survey articles are encouraged to contact the associate editor for review papers, prof. henry liu (henryliu@umn.edu) or the journal editor, prof. asad khattak (akhattak@odu.edu) with a title and a brief abstract, along with a cv demonstrating relevant expertise.

all articles appearing in the journal of intelligent transportation systems undergo a rigorous peer review, based on initial editor screening and at least two anonymous peer reviewers providing comments.

publication office: taylor and francis, inc., 530 walnut street, suite 850, philadelphia, pa 19106
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
journal of location based services,tlbs20,"the journal of location based services is a world-leading journal publishing cutting-edge research in all areas of location-based research and associated technologies, including both applied and theoretical research. the journal actively encourages interaction between industry and academia. the scope of the journal includes, but is not limited to, the following:
  analysis of lbs-generated data
augmented reality
computational movement analysis
context modelling and context-awareness
context modelling, personalisation and context-aware adaptation
evaluation methodologies for lbs
geotagged big data
indoor spatial data modelling and mapping
innovative lbs and applications
lbs in the era of autonomous cars and artificial intelligence
lbs, crowdsourcing, and volunteered geographic information (vgi)
legal, ethical and business aspects in lbs
location based social networks and games
mobile healthcare
mobile human-computer interaction
mobile spatial cognition
mobile user interface and interaction
multi-sensor system and sensor fusion
outdoor and indoor positioning
privacy
smart cities and transportation
smart environments and ambient spatial intelligence
social and behavioural implications of lbs
ubiquitous positioning
user experiences of lbs
user studies and evaluation
visualisation techniques for lbs


all submitted manuscripts are subject to initial appraisal by the editor-in-chief, and, if found suitable for further consideration, to rigorous and rapid peer review by independent, anonymous expert referees. all peer review is double blind and submission is online via scholarone manuscripts.
  proposals for innovative new special issues are actively encouraged and should be approved by the editor-in-chief. queries regarding submissions can be made by contacting the editor-in-chief, whose decision is final.
  author benefits
we are abstracted and indexed in several prestigious databases including the ei compendex, scopus, emerging sources citation index (esci), and the web of science.
the prestigious and experienced members of our international  editorial board will guide you from submission to publication
our  author services page provides you with tips and tricks to promote your research on social media and through your network. this includes 50 free e-prints to share with anyone you wish.
quickly and easily track the impact your paper makes with the help of  authored works.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
journal of management analytics,tjma20,"the  journal of management analytics (jma) is a journal focused on the theory of data analytics and its applications in traditional business disciplines.  these disciplines include accounting, finance, management, marketing, production/operations management, and supply chain management.  the interface between data analytics and various business disciplines are of particular interest for this journal.  research methods integral to this journal include, but are not limited to, empirical research, data analytics, big data analytics, data science, operations research, management science, decision science, and simulation modelling.   
peer review policy
all research articles in this journal have undergone rigorous peer review, based on initial editor screening and anonymized refereeing by at least two anonymous referees.
  star
taylor and francis/routledge are committed to the widest possible dissemination of its journals to non-profit institutions in developing countries.   our star initiative offers individual researchers in africa, south asia and many parts of south east asia the opportunity to gain one month’s free online access to 1,300 taylor and francis journals.  for more information, please visit the star website .

authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
journal of marine engineering and technology,tmar20,"the journal of marine engineering and technology publishes papers that explore developments in marine engineering and marine technology for industrial practitioners and researchers, considering topical issues from environmental impacts, energy transition and performance through to autonomy and artificial intelligence. the journal only publishes work that contributes significantly to the advancement of marine engineering and technology and demonstrates applicability in a real a world setting.
the journal of marine engineering and technology will consider papers which examine advances in marine engineering and technology in the fields of;
fuels and onboard fuel systems;
environmental aspects
novel energy systems including advances in propulsion and power generation;
auxiliary/ancillary systems and their design;
energy saving technology and techniques;
systems in support of autonomous shipping;
advances in maintenance of marine engineering systems;
artificial intelligence;
autonomy, robotics and automation;
shipboard control systems;
sensors and actuation;
data analytics and tools
design and manufacturing methods
rules and regulations for machinery
research and methods must be presented clearly, and where appropriate incorporate comparisons with existing methods. for more detail on layout and submission refer to the instructions for authors.
all submitted manuscripts are subject to initial appraisal by the editor-in-chief and the associate editors, and, if found suitable for further consideration, enter peer review by independent, anonymous expert referees. all peer review is blind usually involving two or more reviewers. authors are requested to submit manuscripts via the journal's online submission system following the instructions for authors.
the journals of the institute of marine engineering, science and technology (imarest), which includes the journal of marine engineering and technology, disseminate and report scientific, operational and applied research issues associated with the marine environment and marine and offshore industries including; design, manufacture, operation, disposal, safety and environmental aspects.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
journal of microwave power and electromagnetic energy,tpee20,"the journal of the microwave power energy (jmpee) is a quarterly publication of the international microwave power institute (impi), aimed to be one of the primary sources of the most reliable information in the arts and sciences of microwave and rf technology. jmpee provides space to engineers and researchers for presenting papers about non-communication applications of microwave and rf, mostly industrial, scientific, medical and instrumentation. topics include, but are not limited to: applications in materials science and nanotechnology, characterization of biological tissues, food industry applications, green chemistry, health and therapeutic applications, microwave chemistry, microwave processing of materials, soil remediation, and waste processing.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
journal of occupational and environmental hygiene,uoeh20,"the journal of occupational and environmental hygiene (joeh) publishes investigations that enhance the knowledge and practice of occupational and environmental hygiene and safety in the workplace and community. we publish peer-reviewed research studies that examine exposures, risks and controls that can be used to understand how exposures relate to health outcomes, and how these can be managed to the betterment of society.

the joeh publishes studies across a range of investigation types, including laboratory investigations, field studies, simulations, and secondary data analyses to help understand occupational and environmental hygiene. stressors relating to adverse health outcomes are the main focus of the joeh , including chemical, biological, radiation, noise, ergonomics, and psychosocial hazards, including how work-life organization affects these exposures.

relevant topics include:
- method development to assess exposures, including sensor technology, analytical methods, and field sampling equipment
- exposure assessments and models that are generalizable across an identified population(s)
- risk assessments and models relating health outcomes to exposures
- exposure determinants that identify significant contributions to exposures
- control strategies (design, performance) to minimize exposures and disease risks
- personal protective equipment assessments and strategies
- emergency preparedness and response
- exposures and risks of special populations that are underrepresented in the literature
- the changing workforce and environment
- “big data” management and analysis
- emerging hazards affecting health and safety

impactful papers are those that address topics above and also identify relevant populations. for technical manuscripts, authors must fully describe research methods – including equipment, study plan (sample size, recruitment, etc.), data analysis, and relevant environmental characteristics. papers need to be generalizable and should not merely report site-specific monitoring results without providing relevance to a broader population. the journal also welcomes reviews and commentaries related to the topics above.

the journal of occupational and environmental hygiene (joeh) is a joint publication of the american industrial hygiene association (aiha®) and acgih®.


authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
journal of operational oceanography,tjoo20,"the journal of operational oceanography will publish papers which examine the role of oceanography in contributing to the fields of:
 
• numerical weather prediction
• development of climatologies
• implications of ocean change
• ocean and climate forecasting
• ocean observing technologies
• eutrophication
• climate assessment
• shoreline change
• marine and sea state prediction
• model development and validation
• coastal flooding
• reducing public health risks
• short-range ocean forecasting
• forces on structures
• ocean policy
• protecting and restoring ecosystem health
• controlling and mitigating natural hazards
• safe and efficient marine operations
 
the journal of operational oceanography will also publish papers which address the requirements of the:

• global ocean observing system (goos)
• global climate observing system (gcos)
• global monitoring for environment and security (gmes)
• global earth observing system of systems (geoss)
the journal of operational oceanography will also publish papers which address the needs of one or more of a wide range of end user communities including:
 
• shipping
• marine energy
• weather services
• fishing
• port management
• wastewater management
• search and rescue
• national security
• charting and navigational services
• public health
• conservation
• insurance and re-insurance
• recreation and tourism
• marine mineral extraction
• environmental regulation
• education
• aquaculture
• coastal management
  all submitted manuscripts are subject to initial appraisal by the editor, and, if found suitable for further consideration, enter peer review by independent, anonymous expert referees. all peer review is single blind.
authors are requested to submit manuscripts via the journal's online submission system following the instructions for authors.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
journal of organizational computing and electronic commerce,hoce20,"the aim of the journal of organizational computing and electronic commerce (jocec) is to publish quality, fresh, and innovative work that will make a difference for future research and practice rather than focusing on well-established research areas.

jocec publishes original research that explores the relationships between computer/communication technology and the design, operations, and performance of organizations. this includes implications of the technologies for organizational structure and dynamics, technological advances to keep pace with changes of organizations and their environments, emerging technological possibilities for improving organizational performance, and the many facets of electronic business.

theoretical, experimental, survey, and design science research are all welcome and might look at:

• e-commerce
• collaborative commerce
• interorganizational systems
• enterprise systems
• supply chain technologies
• computer-supported cooperative work
• computer-aided coordination
• economics of organizational computing
• technologies for organizational learning
• behavioral aspects of organizational computing 

submissions will be screened for suitability and, once the author has been notified of the screening result, accepted submissions will then be evaluated by two to four referees. the double-blind refereeing of submissions is directed by the editor-in-chief, a senior editor, or an associate editor.

author benefits

we are abstracted and/or indexed in several prestigious databases including scopus, isi science citation index, isi science citation index expanded, and more.

our prestigious international editorial board will guide you from submission to publication.

referees are members of the international research community. every effort is made to secure the assistance of referees who, through their own scholarly work, have exhibited expertise in the submission’s subject matter.

our author services page provides you with tips and tricks to promote your research on social media and through your network. this includes 50 free e-prints to share with anyone you wish.

quickly and easily track the impact your paper makes with the help of authored works.
publication office: taylor and francis, inc., 530 walnut street, suite 850, philadelphia, pa 19106.  
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
journal of quality technology,ujqt20,"the objective of journal of quality technology is to contribute to the technical advancement of the field of quality technology by publishing papers that emphasize the practical applicability of new techniques, instructive examples of the operation of existing techniques and results of historical researches. expository, review, and tutorial papers are also acceptable if they are written in a style suitable for practicing engineers.
please note that this journal only publishes manuscripts in english.

journal of quality technology (jqt) seeks to publish research that applies innovative thinking and develops cutting-edge analytical methods to address real problems related to quality technology.

quality technology emphasizes the application of data analytics to solve problems related to quality in industry, government, and society. the primary objective of jqt since its founding in 1969 is to provide the quality professional with innovative methodological tools to solve problems related to quality. the “quality” of a process or product relates to the capability of satisfying expressed and unexpressed customer needs. the “technology” that generates process and product data as well as the “technology” related to analytical methods that support quality improvement are evolving at a rapid pace. technological advances provide many opportunities for innovative solutions. thus, the main mission of the papers in jqt is to provide these innovative methodologies to the quality community.

jqt publishes the following types of papers.
regular research: regular research papers develop, evaluate, and present innovative analytical solutions to real industry, government, and societal challenges in support of product and process quality. expository, review, and tutorial papers written with the goal of advancing methodological practice in quality technology are also acceptable.
case study: case study papers illustrate a complex problem, use real data, and demonstrate the innovative application of methodologies to solve or bring new insight towards a solution related to quality.
software: software papers present a detailed description of a new computer code package that supports quality improvement. survey papers that present a critical review of existing software related to quality improvement will also be considered.
jqt encourages authors to demonstrate the usefulness of their research by applying their methods to real data and encourages sharing of code to support reproducibility. when appropriate, jqt will consider publishing letters to the editor. letters to the editor provide an opportunity for commentary on recently published works. letters that refer to papers published in the four most recent issues will be subjected to the regular review process. authors of the original paper will be given the opportunity to review and comment submitted letters.

for more details on each type of paper, please read the instructions for authors. jqt does not publish research related to quality management.  
  peer review policy
taylor and francis is committed to peer-review integrity and upholding the highest standards of review. once your paper has been assessed for suitability by the editor, it will then be single blind peer-reviewed by independent, anonymous expert referees. find out more about what to expect during peer review and read our guidance on choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
journal of simulation,tjsm20,"journal of simulation (jos) aims to publish both articles and technical notes from researchers and practitioners active in the field of simulation. in jos, the field of simulation includes the techniques, tools, methods and technologies of the application and the use of discrete-event simulation, agent-based modelling and system dynamics. we are also interested in models that are hybrids of these approaches. jos encourages theoretical papers that span the breadth of the simulation process, including both modelling and analysis methodologies, as well as practical papers from a wide range of simulation applications in domains including, manufacturing, service, defence, health care and general commerce. jos will particularly seek topics that are not ""mainstream"" in nature but interesting and evocative to the simulation community as outlined above.
particular interest is paid to significant success in the use of simulation. jos will publish the methodological and technological advances that represent significant progress toward the application of simulation modelling-related theory and/or practice.
other streams of interest will be practical applications that highlight insights into the contemporary practice of simulation modelling; articles that are tutorial in nature or that largely review existing literature as a contribution to the field, and articles based on empirical research such as questionnaire surveys, controlled experiments or more qualitative case studies.
shorter technical notes will also be considered.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
journal of spatial science,tjss20,"the journal of spatial science publishes papers broadly across the spatial sciences including such areas as cartography, geodesy, geographic information science, hydrography, digital image analysis and photogrammetry, remote sensing, surveying and related areas. two types of papers are published by he journal: research papers and professional papers.
 
research papers (including reviews) are peer-reviewed and must meet a minimum standard of making a contribution to the knowledge base of an area of the spatial sciences. this can be achieved through the empirical or theoretical contribution to knowledge that produces significant new outcomes.
it is anticipated that professional papers will be written by industry practitioners. professional papers describe innovative aspects of professional practise and applications that advance the development of the spatial industry. 
peer review policy
all research and review papers in this journal have undergone rigorous peer review, based on initial editor screening and double-blind refereeing.
  authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
journal of sustainable cement-based materials,tscm20,"the journal of sustainable cement-based materials aims to publish theoretical and applied researches on materials, products and structures that incorporate cement. the journal is a forum for discussion of research on manufacture, hydration and performance of cement-based materials; novel experimental techniques; the latest analytical and modelling methods; the examination and the diagnosis of real cement and concrete structures; and the potential for improved cement-based materials.
the journal welcomes original research papers, major reviews, rapid communications and selected conference papers. the journal of sustainable cement-based materials covers a wide range of topics within its subject category, including but are not limited to:
raw materials and manufacture of cement
mixing, rheology and hydration
admixtures
structural characteristics and performance of cement-based materials
characterisation techniques and modeling
use of fibre in cement based-materials
degradation and repair of cement-based materials
novel testing techniques and applications
waste management
star
taylor and francis/routledge are committed to the widest possible dissemination of its journals to non-profit institutions in developing countries. our star initiative offers individual researchers in africa, south asia and many parts of south east asia the opportunity to gain one month’s free online access to 1,300 taylor and francis journals. for more information, please visit the star website.

authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
journal of thermal stresses,uths20,"the first international journal devoted exclusively to the subject, journal of thermal stresses publishes refereed articles on the theoretical and industrial applications of thermal stresses. intended as a forum for those engaged in analytic as well as experimental research, this monthly journal includes papers on mathematical and practical applications. emphasis is placed on new developments in thermoelasticity, thermoplasticity, and theory and applications of thermal stresses. papers on experimental methods and on numerical methods, including finite element methods, are also published.
all submitted manuscripts are subject to initial appraisal by the editor, and, if found suitable for further consideration, to peer review by an independent, anonymous expert referee or referees. all submission is online via scholarone manuscripts. 
  publication office: taylor and francis, inc., 530 walnut street, suite 850, philadelphia, pa 19106.
readership:
physicists, engineers, and mathematicians at universities, research institutions, and in industry.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
journal of transportation safety and security,utss20,"an official journal of the southeastern transportation center in partnership with beijing jiaotong university 

prior to the inception of the  journal of transportation safety and security (jtss), there were limited outlets for publishing research in the areas of comprehensive transportation safety or transportation security. jtss fills that gap by emphasizing safety issues of multimodal transportation, including highway, transit, ride-sharing, pedestrian and bicycle modes as well as rail, water and aviation. the journal's aim is to disseminate advanced research results and engineering experience to educators, researchers, practitioners, and policy makers to enhance transportation safety with comprehensive and integrated solutions.
  jtss provides a discussion forum for the exchange of academic ideas, data, and integrated transportation safety solutions developed through engineering research in multimodal transportation safety arenas. the journal is supported and directed by an international editorial board of renowned experts in all modes transportation safety.
  relevant topics include comprehensive transportation safety aspects of 
infrastructure design
driver behavior and human factors
traffic control and traffic operations
crash data collection and analyses
safety information and communication systems
advanced and emerging vehicle and network technologies
safety policy and planning
security issues of transportation systems and networks
emergency and incident planning and response
all submitted manuscripts are subject to initial evaluation by the editor and, if found suitable for further consideration, to peer review by independent, anonymous expert reviewers. all peer review is single blind. submissions are made online via scholarone manuscripts.
publication office: taylor and francis, 530 walnut street, suite 850, philadelphia, pa 19106. 
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
